genotype	treatment	timepoint	replicate	total	hue	count
Col-0	CPB	13	1	2265192	25	512
Col-0	CPB	13	1	2265192	26	789
Col-0	CPB	13	1	2265192	27	655
Col-0	CPB	13	1	2265192	28	462
Col-0	CPB	13	1	2265192	29	385
Col-0	CPB	13	1	2265192	30	239
Col-0	CPB	13	1	2265192	31	399
Col-0	CPB	13	1	2265192	32	517
Col-0	CPB	13	1	2265192	33	750
Col-0	CPB	13	1	2265192	34	992
Col-0	CPB	13	1	2265192	35	1427
Col-0	CPB	13	1	2265192	36	1089
Col-0	CPB	13	1	2265192	37	533
Col-0	CPB	13	1	2265192	38	664
Col-0	CPB	13	1	2265192	39	619
Col-0	CPB	13	1	2265192	40	453
Col-0	CPB	13	1	2265192	41	931
Col-0	CPB	13	1	2265192	42	5587
Col-0	CPB	13	1	2265192	43	15418
Col-0	CPB	13	1	2265192	44	22962
Col-0	CPB	13	1	2265192	45	36945
Col-0	CPB	13	1	2265192	46	54940
Col-0	CPB	13	1	2265192	47	94730
Col-0	CPB	13	1	2265192	48	158564
Col-0	CPB	13	1	2265192	49	234437
Col-0	CPB	13	1	2265192	50	340964
Col-0	CPB	13	1	2265192	51	346917
Col-0	CPB	13	1	2265192	52	367559
Col-0	CPB	13	1	2265192	53	224701
Col-0	CPB	13	1	2265192	54	134351
Col-0	CPB	13	1	2265192	55	93126
Col-0	CPB	13	1	2265192	56	46969
Col-0	CPB	13	1	2265192	57	29631
Col-0	CPB	13	1	2265192	58	18445
Col-0	CPB	13	1	2265192	59	9755
Col-0	CPB	13	1	2265192	60	3494
Col-0	CPB	13	1	2265192	61	4463
Col-0	CPB	13	1	2265192	62	1928
Col-0	CPB	13	1	2265192	63	1359
Col-0	CPB	13	1	2265192	64	941
Col-0	CPB	13	1	2265192	65	849
Col-0	CPB	13	1	2265192	66	388
Col-0	CPB	13	1	2265192	67	276
Col-0	CPB	13	1	2265192	68	265
Col-0	CPB	13	1	2265192	69	189
Col-0	CPB	13	1	2265192	70	168
Col-0	CPB	13	1	2265192	71	147
Col-0	CPB	13	1	2265192	72	153
Col-0	CPB	13	1	2265192	73	160
Col-0	CPB	13	1	2265192	74	156
Col-0	CPB	13	1	2265192	75	142
Col-0	CPB	13	1	2265192	76	134
Col-0	CPB	13	1	2265192	77	170
Col-0	CPB	13	1	2265192	78	96
Col-0	CPB	13	1	2265192	79	26
Col-0	CPB	13	1	2265192	80	168
Col-0	CPB	13	1	2265192	81	88
Col-0	CPB	13	1	2265192	82	64
Col-0	CPB	13	1	2265192	83	139
Col-0	CPB	13	1	2265192	84	107
Col-0	CPB	13	1	2265192	85	62
Col-0	CPB	13	1	2265192	86	60
Col-0	CPB	13	1	2265192	87	80
Col-0	CPB	13	1	2265192	88	86
Col-0	CPB	13	1	2265192	89	113
Col-0	CPB	13	1	2265192	90	50
Col-0	CPB	13	1	2265192	91	63
Col-0	CPB	13	1	2265192	92	1
Col-0	CPB	13	1	2265192	93	0
Col-0	CPB	13	1	2265192	94	0
Col-0	CPB	13	1	2265192	95	0
Col-0	CPB	13	1	2265192	96	0
Col-0	CPB	13	1	2265192	97	0
Col-0	CPB	13	1	2265192	98	0
Col-0	CPB	13	1	2265192	99	0
Col-0	CPB	13	1	2265192	100	0
Col-0	CPB	13	1	2265192	101	0
Col-0	CPB	13	1	2265192	102	0
Col-0	CPB	13	1	2265192	103	0
Col-0	CPB	13	1	2265192	104	0
Col-0	CPB	13	1	2265192	105	0
Col-0	CPB	13	1	2265192	106	0
Col-0	CPB	13	1	2265192	107	0
Col-0	CPB	13	1	2265192	108	0
Col-0	CPB	13	1	2265192	109	0
Col-0	CPB	13	1	2265192	110	0
Col-0	CPB	13	1	2265192	111	0
Col-0	CPB	13	1	2265192	112	0
Col-0	CPB	13	1	2265192	113	0
Col-0	CPB	13	1	2265192	114	0
Col-0	CPB	13	1	2265192	115	0
Col-0	CPB	13	1	2265192	116	0
Col-0	CPB	13	1	2265192	117	0
Col-0	CPB	13	1	2265192	118	0
Col-0	CPB	13	1	2265192	119	0
Col-0	CPB	13	1	2265192	120	0
Col-0	CPB	13	1	2265192	121	0
Col-0	CPB	13	1	2265192	122	0
Col-0	CPB	13	1	2265192	123	0
Col-0	CPB	13	1	2265192	124	0
Col-0	CPB	13	1	2265192	125	0
Col-0	CPB	13	1	2265192	126	0
Col-0	CPB	13	1	2265192	127	0
Col-0	CPB	13	1	2265192	128	0
Col-0	CPB	13	1	2265192	129	0
Col-0	CPB	13	1	2265192	130	0
Col-0	CPB	13	1	2265192	131	0
Col-0	CPB	13	1	2265192	132	0
Col-0	CPB	13	1	2265192	133	0
Col-0	CPB	13	1	2265192	134	0
Col-0	CPB	13	1	2265192	135	0
Col-0	CPB	13	1	2265192	136	0
Col-0	CPB	13	1	2265192	137	0
Col-0	CPB	13	1	2265192	138	0
Col-0	CPB	13	1	2265192	139	0
Col-0	CPB	13	1	2265192	140	0
Col-0	CPB	13	1	2265192	141	0
Col-0	CPB	13	1	2265192	142	0
Col-0	CPB	13	1	2265192	143	0
Col-0	CPB	13	1	2265192	144	0
Col-0	CPB	13	1	2265192	145	0
Col-0	CPB	13	1	2265192	146	0
Col-0	CPB	13	1	2265192	147	0
Col-0	CPB	13	1	2265192	148	0
Col-0	CPB	13	1	2265192	149	0
Col-0	CPB	13	1	2265192	150	0
Col-0	CPB	13	1	2265192	151	0
Col-0	CPB	13	1	2265192	152	0
Col-0	CPB	13	1	2265192	153	0
Col-0	CPB	13	1	2265192	154	0
Col-0	CPB	13	1	2265192	155	0
Col-0	CPB	13	1	2265192	156	0
Col-0	CPB	13	1	2265192	157	0
Col-0	CPB	13	1	2265192	158	0
Col-0	CPB	13	1	2265192	159	0
Col-0	CPB	13	1	2265192	160	0
Col-0	CPB	13	1	2265192	161	0
Col-0	CPB	13	1	2265192	162	0
Col-0	CPB	13	1	2265192	163	0
Col-0	CPB	13	1	2265192	164	0
Col-0	CPB	13	1	2265192	165	0
Col-0	CPB	13	1	2265192	166	0
Col-0	CPB	13	1	2265192	167	0
Col-0	CPB	13	1	2265192	168	0
Col-0	CPB	13	1	2265192	169	0
Col-0	CPB	13	1	2265192	170	0
Col-0	CPB	13	1	2265192	171	0
Col-0	CPB	13	1	2265192	172	0
Col-0	CPB	13	1	2265192	173	0
Col-0	CPB	13	1	2265192	174	0
Col-0	CPB	13	1	2265192	175	0
Col-0	CPB	13	1	2265192	176	0
Col-0	CPB	13	1	2265192	177	0
Col-0	CPB	13	1	2265192	178	0
Col-0	CPB	13	1	2265192	179	0
Col-0	CPB	15	1	2130139	0	0
Col-0	CPB	15	1	2130139	1	0
Col-0	CPB	15	1	2130139	2	0
Col-0	CPB	15	1	2130139	3	0
Col-0	CPB	15	1	2130139	4	0
Col-0	CPB	15	1	2130139	5	1
Col-0	CPB	15	1	2130139	6	1
Col-0	CPB	15	1	2130139	7	0
Col-0	CPB	15	1	2130139	8	0
Col-0	CPB	15	1	2130139	9	0
Col-0	CPB	15	1	2130139	10	0
Col-0	CPB	15	1	2130139	11	3
Col-0	CPB	15	1	2130139	12	0
Col-0	CPB	15	1	2130139	13	1
Col-0	CPB	15	1	2130139	14	1
Col-0	CPB	15	1	2130139	15	1
Col-0	CPB	15	1	2130139	16	3
Col-0	CPB	15	1	2130139	17	1
Col-0	CPB	15	1	2130139	18	3
Col-0	CPB	15	1	2130139	19	2
Col-0	CPB	15	1	2130139	20	13
Col-0	CPB	15	1	2130139	21	18
Col-0	CPB	15	1	2130139	22	110
Col-0	CPB	15	1	2130139	23	289
Col-0	CPB	15	1	2130139	24	533
Col-0	CPB	15	1	2130139	25	394
Col-0	CPB	15	1	2130139	26	892
Col-0	CPB	15	1	2130139	27	949
Col-0	CPB	15	1	2130139	28	2235
Col-0	CPB	15	1	2130139	29	5793
Col-0	CPB	15	1	2130139	30	6050
Col-0	CPB	15	1	2130139	31	4211
Col-0	CPB	15	1	2130139	32	4331
Col-0	CPB	15	1	2130139	33	4724
Col-0	CPB	15	1	2130139	34	6831
Col-0	CPB	15	1	2130139	35	13599
Col-0	CPB	15	1	2130139	36	9526
Col-0	CPB	15	1	2130139	37	7720
Col-0	CPB	15	1	2130139	38	7472
Col-0	CPB	15	1	2130139	39	5844
Col-0	CPB	15	1	2130139	40	4802
Col-0	CPB	15	1	2130139	41	6766
Col-0	CPB	15	1	2130139	42	20496
Col-0	CPB	15	1	2130139	43	37929
Col-0	CPB	15	1	2130139	44	45906
Col-0	CPB	15	1	2130139	45	65879
Col-0	CPB	15	1	2130139	46	77586
Col-0	CPB	15	1	2130139	47	98974
Col-0	CPB	15	1	2130139	48	121854
Col-0	CPB	15	1	2130139	49	158588
Col-0	CPB	15	1	2130139	50	190083
Col-0	CPB	15	1	2130139	51	208391
Col-0	CPB	15	1	2130139	52	253159
Col-0	CPB	15	1	2130139	53	216328
Col-0	CPB	15	1	2130139	54	155961
Col-0	CPB	15	1	2130139	55	138027
Col-0	CPB	15	1	2130139	56	81557
Col-0	CPB	15	1	2130139	57	57157
Col-0	CPB	15	1	2130139	58	41912
Col-0	CPB	15	1	2130139	59	24804
Col-0	CPB	15	1	2130139	60	9251
Col-0	CPB	15	1	2130139	61	13636
Col-0	CPB	15	1	2130139	62	6464
Col-0	CPB	15	1	2130139	63	3759
Col-0	CPB	15	1	2130139	64	2577
Col-0	CPB	15	1	2130139	65	2205
Col-0	CPB	15	1	2130139	66	941
Col-0	CPB	15	1	2130139	67	554
Col-0	CPB	15	1	2130139	68	722
Col-0	CPB	15	1	2130139	69	342
Col-0	CPB	15	1	2130139	70	162
Col-0	CPB	15	1	2130139	71	165
Col-0	CPB	15	1	2130139	72	135
Col-0	CPB	15	1	2130139	73	171
Col-0	CPB	15	1	2130139	74	137
Col-0	CPB	15	1	2130139	75	101
Col-0	CPB	15	1	2130139	76	102
Col-0	CPB	15	1	2130139	77	97
Col-0	CPB	15	1	2130139	78	90
Col-0	CPB	15	1	2130139	79	20
Col-0	CPB	15	1	2130139	80	99
Col-0	CPB	15	1	2130139	81	68
Col-0	CPB	15	1	2130139	82	58
Col-0	CPB	15	1	2130139	83	108
Col-0	CPB	15	1	2130139	84	75
Col-0	CPB	15	1	2130139	85	68
Col-0	CPB	15	1	2130139	86	35
Col-0	CPB	15	1	2130139	87	54
Col-0	CPB	15	1	2130139	88	49
Col-0	CPB	15	1	2130139	89	91
Col-0	CPB	15	1	2130139	90	34
Col-0	CPB	15	1	2130139	91	49
Col-0	CPB	15	1	2130139	92	5
Col-0	CPB	15	1	2130139	93	1
Col-0	CPB	15	1	2130139	94	0
Col-0	CPB	15	1	2130139	95	0
Col-0	CPB	15	1	2130139	96	0
Col-0	CPB	15	1	2130139	97	0
Col-0	CPB	15	1	2130139	98	0
Col-0	CPB	15	1	2130139	99	0
Col-0	CPB	15	1	2130139	100	0
Col-0	CPB	15	1	2130139	101	0
Col-0	CPB	15	1	2130139	102	0
Col-0	CPB	15	1	2130139	103	0
Col-0	CPB	15	1	2130139	104	0
Col-0	CPB	15	1	2130139	105	0
Col-0	CPB	15	1	2130139	106	0
Col-0	CPB	15	1	2130139	107	0
Col-0	CPB	15	1	2130139	108	0
Col-0	CPB	15	1	2130139	109	0
Col-0	CPB	15	1	2130139	110	0
Col-0	CPB	15	1	2130139	111	0
Col-0	CPB	15	1	2130139	112	0
Col-0	CPB	15	1	2130139	113	0
Col-0	CPB	15	1	2130139	114	0
Col-0	CPB	15	1	2130139	115	0
Col-0	CPB	15	1	2130139	116	0
Col-0	CPB	15	1	2130139	117	0
Col-0	CPB	15	1	2130139	118	0
Col-0	CPB	15	1	2130139	119	0
